https://www.ctcrash.uconn.edu/QueryTool2.action?qid=166508
"CrashId","VehicleId","Vehicle Unit Type","Vehicle Unit Type Text Format","Number of Occupants in Vehicle","Make","Vehicle Model Year","Vehicle Model Year Text Format","Model","Vehicle Color","Direction of Travel Before Crash","Direction of Travel Before Crash Text Format","Direction is Unknown","Most Harmful Event","Most Harmful Event Text Format","Vehicle Maneuver/Action","Vehicle Maneuver/Action Text Format","Contributing Circumstances, Motor Vehicle","Contributing Circumstances, Motor Vehicle Text Format","Contributing Circumstances, Motor Vehicle","Contributing Circumstances, Motor Vehicle Text Format","Posted/Statutory Speed Limit","Towed Status","Towed Status Text Format","Trafficway Description","Trafficway Description Text Format","Total Lanes In Roadway","Roadway Alignment","Roadway Alignment Text Format","Roadway Grade","Roadway Grade Text Format","Initial Contact Point","Initial Contact Point Text Format","Extent of Damage","Extent of Damage Text Format","Body Type","Body Type Text Format","Vehicle Action","Vehicle Action Text Format","Contributing Circumstances of Vehicle","Contributing Circumstances of Vehicle Text Format","VIN","Traffic Control Device Type","Traffic Control Device Type Text Format","Traffic Control Device Functional?","Traffic Control Device Functional? Text Format","Sequence of Events 1","Sequence of Events 1 Text Format","Sequence of Events 2","Sequence of Events 2 Text Format","Sequence of Events 3","Sequence of Events 3 Text Format","Sequence of Events 4","Sequence of Events 4 Text Format","Special Function Of Vehicle In Operation","Special Function Of Vehicle In Operation Text Format","Emergency Vehicle Use","Emergency Vehicle Use Text Format","Were Hazardous Materials Released","Were Hazardous Materials Released Text Format","Owner City","Owner State","Owner Country","Owner Postal Code","Owner Information Same As Driver","Hit And Run Status","Towed To","Was Serial Number Missing/Removed","Bike Lanes/Sharrows Present","Name Of Roadway On Which Vehicle Was Traveling","Vehicle Was Not On Roadway","Motor Vehicle Registration State","Motor Vehicle Registration Was Invalid","Motor Vehicle Registration Plate Was Missing","Bus Use","Name Of Issuing Insurance Company","US DOT Number","Carrier Name","Carrier City","Carrier State","Carrier Country","Carrier Postal Code","Carrier Type","Carrier Type Text Format","Power Unit Owner Information Same As Carrier","Power Unit Owner City","Power Unit Owner State","Power Unit Owner Country","Power Unit Owner Postal Code","Gross Vehicle Weight Rating","Gross Vehicle Weight Rating Text Format","Vehicle Configuration","Vehicle Configuration Text Format","Cargo Body Type","Cargo Body Type Text Format","Insurance Expiration Date","Hazardous Materials Placard Display","Hazardous Materials Placard Display Text Format","Hazardou sMaterials Placard Number","Hazardou sMaterials Placard Class Number"
"12349","1","1","Vehicle in Operation","1","VOLK","2001","2001","JGS","BLK","N","Northbound","false","18","Pedalcycle/Pedalcyclist","6","Turning Right","0","None","88","Not Applicable","35","3","Not Towed","3","Two-Way, Divided, Unprotected (Painted > 4 Feet) Median","2","1","Straight","4","Downhill","1","Sector 1 (North by NorthEast) in the 12-point Clock Diagram","1","No Damage","1","Passenger Car","6","Turning Right","0","None","3VWST29M11M001591","3","Traffic Control Signal","2","Yes","18","Pedalcycle/Pedalcyclist","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Moosup","CT","","06354","","false","","false","false","X93 N/B off ramp","false","CT","false","false","1","SAFECO","","","","","","","","","","","","","","","","","","","","2015-12-13","","","",""
"12349","2","1","Vehicle in Operation","1","BICYCLE","0","Older than 2003","BICYCLE","","W","Westbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","","","88","","","3","Two-Way, Divided, Unprotected (Painted > 4 Feet) Median","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","2","Minor Damage","","","1","Straight Ahead","0","None","","3","Traffic Control Signal","2","Yes","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","","","","","","","","","","","","false","","false","false","Rt.101","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16244","1","1","Vehicle in Operation","1","Toyt","2001","2001","Tacoma","Gry      ","W","Westbound","false","17","Pedestrian","15","Wrong way (or Wrong Side)","0","None","88","Not Applicable","45","2","Towed But not Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","1","Level","3","Sector 3 (East) in the 12-point Clock Diagram","3","Functional Damage","5","Pick Up","15","Wrong way (or Wrong Side)","0","None","5TEWN72N51Z752050   ","1","No Control Device","88","Not Applicable","11","Cross Centerline","17","Pedestrian","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","N Grosvenordle","CT","","","","false","Foskett's","false","false","Rt. 197","false","CT","false","false","1","GEICO","","","","","","","","","","","","","","","","","","","","","","","",""
"21512","1","1","Vehicle in Operation","2","FORD","2005","2005","FREESTAR","TAN","W","Westbound","false","17","Pedestrian","1","Straight Ahead","97","Other","88","Not Applicable","15","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","1","Straight Ahead","97","Other","2FMZA57635BA70198","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","99","Unknown","","","","","","","","","N/A","false","","circle dr","","CT","","","1","METROPOLITAN PROPERTY AND CASUALTY INS CO","","","","","","","","","","","","","","","","","","","","2015-07-23","","","",""
"21866","1","1","Vehicle in Operation","1","Toyt","2009","2009","Corolla","Gry      ","S","Southbound","false","17","Pedestrian","1","Straight Ahead","99","Unknown","88","Not Applicable","30","2","Towed But not Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","3","Functional Damage","1","Passenger Car","1","Straight Ahead","99","Unknown","2T1BU40E59C138250   ","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","","","","","","false","Troop D via Perry Motors","false","false","Water St","false","CT","false","false","1","UNITED SERVICES AUTOMOBILE","","","","","","","","","","","","","","","","","","","","2015-08-08","","","",""
"27582","1","1","Vehicle in Operation","1","Volkswagon","2004","2004","","","S","Southbound","false","17","Pedestrian","1","Straight Ahead","0","None","88","Not Applicable","99","3","Not Towed","3","Two-Way, Divided, Unprotected (Painted > 4 Feet) Median","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","1","Straight Ahead","0","None","WVWPE63BX4E295780","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","1","Non-Emergency Situation, Non Transporting Patient","","","","","UnitedStates","","true","false","N/A","false","false","Main St","false","CT","false","false","1","Metropolitan","","","","","","","","","","","","","","","","","","","","","","","",""
"27582","2","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58716","1","1","Vehicle in Operation","1","GMC","2004","2004","K1500 Si","Black","E","Eastbound","false","17","Pedestrian","7","Turning Left","0","None","88","Not Applicable","25","3","Not Towed","3","Two-Way, Divided, Unprotected (Painted > 4 Feet) Median","2","1","Straight","1","Level","11","Sector 11 (North by NorthWest) in the 12-point Clock Diagram","1","No Damage","5","Pick Up","7","Turning Left","0","None","2GTEK19T041172042   ","6","Stop Sign","2","Yes","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","","","","","","false","Not Applicable","false","false","Main St","false","CT","false","false","88","PATRONS MUTUAL INS","","","","","","","","","","","","","","","","","","","","","","","",""
"58733","2","1","Vehicle in Operation","1","Toyota","2014","2014","Prius","Gray","E","Eastbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","9","Sector 9 (West) in the 12-point Clock Diagram","3","Functional Damage","1","Passenger Car","1","Straight Ahead","0","None","JTDKN3DU5E0361367","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Columbia","CT","","06237","","false","","false","false","Valley St.","false","CT","false","false","1","ALLSTATE","","","","","","","","","","","","","","","","","","","","","","","",""
"58733","1","1","Vehicle in Operation","1","WETHEPEOPLE","0","Older than 2003","VS","Blue","S","Southbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","1","Brakes","88","Not Applicable","25","","","1","Two-Way, Not Divided","2","1","Straight","4","Downhill","12","Sector 12 (North) in the 12-point Clock Diagram","4","Disabling Damage","","","1","Straight Ahead","1","Brakes","","6","Stop Sign","2","Yes","12","Downhill Runaway","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","","","","","","","","","","","","false","","true","false","Ivanhill","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
