https://www.ctcrash.uconn.edu/QueryTool2.action?qid=165957
"CrashId","Fatal Case Status","Fatal Case Status Text Format","CrashId","CrashId","Latitude","Longitude","DOT Case Number","Town Name","Town Number","Town Number","Town Number Text Format","Date Of Crash","Year","Month","Month Text Format","Day","Day of the Week","Day of the Week Text Format","Time of Crash","Hour of the Day","Case Identifier","Crash Severity","Crash Severity Text Format","Most Severe Injury","Most Severe Injury Text Format","Number Of Motor Vehicles","Number Of Non-Motorist","Number Of Witnesses","Route Class","Route Class Text Format","Milemarker","Road Number","Road Description","Roadway Name","Intersecting Roadway Name","Landmark Description","Distance From Nearest Landmark","Unit Of Measure From Nearest Landmark","Direction From Nearest Landmark","Latitude","Longitude","First Harmful Event","First Harmful Event Text Format","Manner of Crash / Collision Impact","Manner of Crash / Collision Impact Text Format","Location of First Harmful Event","Location of First Harmful Event Text Format","Weather Condition","Weather Condition Text Format","Weather 2","Weather 2 Text Format","Light Condition","Light Condition Text Format","Road Surface Condition","Road Surface Condition Text Format","Contributing Circumstances, Environment","Contributing Circumstances, Environment Text Format","Environment 2","Environment 2 Text Format","Environment 3","Environment 3 Text Format","Contributing Circumstances, Road","Contributing Circumstances, Road Text Format","Road 2","Road 2 Text Format","Road 3","Road 3 Text Format","Crash Specific Location","Crash Specific Location Text Format","Type of Intersection","Type of Intersection Text Format","School Bus Related","School Bus Related Text Format","Work Zone Related","Work Zone Related Text Format","Location Of Crash Relative To Work Zone","Location Of Crash Relative To Work Zone Text Format","Type of Work Zone","Type of Work Zone Text Format","Worker Presence","Worker Presence Text Format","Law Enforcement Presence","Law Enforcement Presence Text Format","Were Vehicles Moved Prior To Police Arrival","Trafficway Ownership","Trafficway Ownership Text Format","Trafficway Class","Trafficway Class Text Format","Police Agency","Police Agency Text Format","Badge Number","Approval Date","Police Case Status","Police Case Status Text Format","Crash Report Submission Date","Related Case Identifiers","Urban Area","Urban Area Text Format","No. of Through Lanes (Reverse Dir.)","No. of Through Lanes (Log Dir.)","Highway Type (FHWA)","Highway Type (FHWA) Text Format","Average Daily Traffic","Functional Classification","Functional Classification Text Format","Rural or Urban","Rural or Urban Text Format"
"4124","1","Complete","4124","4124","41.33426500","-72.90060900","2245018","Hamden","62","62","Hamden","2015-02-06","2015","2","February","6","6","Friday","12:40:00","12","1500005275","A","Injury of any type (Serious, Minor, Possible)","A","Suspected Serious Injury (A)","1","1","0","2","USRoute","1.42","5","005","STATE STREET","","FARM RD","248.0","Feet","S","41.33426500","-72.90060900","9","Pedestrian","88","Not Applicable","2","Shoulder","1","Clear","88","Not Applicable","1","Daylight","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","97","Other","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","88","Not Applicable","1","Trafficway, On Road","CT0006200","Hamden PD","0030","2015-02-16 00:00:00.0","O","Open","2015-02-23 00:00:00.0","","G","NEW HAVEN","0","2","1","2 LANE CONTIGUOUS (WIDTH UNDER 36')","14400","4","MINOR ARTERIAL - NEW HPMS","2","Urban"
"8555","1","Complete","8555","8555","41.34771400","-72.93438900","2251098","Hamden","62","62","Hamden","2015-03-27","2015","3","March","27","6","Friday","19:59:00","19","1500012296","A","Injury of any type (Serious, Minor, Possible)","A","Suspected Serious Injury (A)","1","1","1","4","Local","1.29","99","CIRCULAR AV","CIRCULAR AVE","GORHAM AV","","","","","41.34771400","-72.93438900","9","Pedestrian","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","4","Dark-Lighted","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","2","Intersection","3","T-Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","3","Non-trafficway","CT0006200","Hamden PD","0035","2015-04-02 00:00:00.0","O","Open","2015-04-02 00:00:00.0","","G","NEW HAVEN","","2","","","7600","4","MINOR ARTERIAL - NEW HPMS","2","Urban"
"29371","1","Complete","29371","29371","41.31423700","-72.94333300","2272316","New Haven","93","93","New Haven","2015-01-14","2015","1","January","14","4","Wednesday","08:53:00","8","15001898","A","Injury of any type (Serious, Minor, Possible)","A","Suspected Serious Injury (A)","1","1","0","4","Local","0.60","556","SHERMAN AV","SHERMAN AVE","MAPLE ST","","","","","41.31423700","-72.94333300","9","Pedestrian","88","Not Applicable","1","On Roadway","2","Cloudy","88","Not Applicable","1","Daylight","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","3","Intersection-Related","3","T-Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","true","1","Public Road","1","Trafficway, On Road","CT0009300","New Haven PD","67","2015-01-15 00:00:00.0","O","Open","2015-05-19 00:00:00.0","15-001898","G","NEW HAVEN","","4","","","9900","4","MINOR ARTERIAL - NEW HPMS","2","Urban"
"30371","1","Complete","30371","30371","41.30420000","-72.93090000","2273316","New Haven","93","93","New Haven","2015-02-17","2015","2","February","17","3","Tuesday","17:01:00","17","15006782","A","Injury of any type (Serious, Minor, Possible)","A","Suspected Serious Injury (A)","1","1","1","4","Local","0.58","117","COLLEGE ST","COLLEGE ST","NORTH FRONTAGE RD","","","","","41.30420000","-72.93090000","9","Pedestrian","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","1","Daylight","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","2","Intersection","3","T-Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0009300","New Haven PD","238","2015-02-18 00:00:00.0","C","Closed","2015-05-19 00:00:00.0","15-006782","G","NEW HAVEN","","4","","","5200","3","PRINCIPAL ARTERIAL - OTHER - NEW HPMS","2","Urban"
"31050","1","Complete","31050","31050","41.31382300","-72.92502000","2273995","New Haven","93","93","New Haven","2015-03-07","2015","3","March","7","7","Saturday","16:30:00","16","15009755","A","Injury of any type (Serious, Minor, Possible)","A","Suspected Serious Injury (A)","1","1","1","4","Local","0.00","601","TRUMBULL ST","TRUMBULL ST","PROSPECT ST","","","","","41.31382300","-72.92502000","14","Motor Vehicle in Operation","4","Sideswipe, same direction","1","On Roadway","2","Cloudy","88","Not Applicable","1","Daylight","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","3","Intersection-Related","2","Four-Way Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0009300","New Haven PD","84","2015-03-07 00:00:00.0","C","Closed","2015-05-19 00:00:00.0","","G","NEW HAVEN","","2","","","5600","5","MAJOR COLLECTOR - NEW HPMS","2","Urban"
"32190","1","Complete","32190","32190","41.31849500","-72.94753400","2275135","New Haven","93","93","New Haven","2015-05-09","2015","5","May","9","7","Saturday","20:46:00","20","15021145","A","Injury of any type (Serious, Minor, Possible)","A","Suspected Serious Injury (A)","2","1","0","4","Local","0.08","653","WHALLEY AV","431 WHALLEY AVE","ELLSWORTH AV","","","","","41.31849500","-72.94753400","10","Pedalcycle/Pedalcyclist","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","4","Dark-Lighted","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","2","Intersection","2","Four-Way Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0009300","New Haven PD","44","2015-05-09 00:00:00.0","C","Closed","2015-05-19 00:00:00.0","15-21145","G","NEW HAVEN","","4","","","18400","3","PRINCIPAL ARTERIAL - OTHER - NEW HPMS","2","Urban"
"32191","1","Complete","32191","32191","41.31794600","-72.92726200","2275136","New Haven","93","93","New Haven","2015-05-09","2015","5","May","9","7","Saturday","21:35:00","21","15021150","A","Injury of any type (Serious, Minor, Possible)","A","Suspected Serious Injury (A)","1","1","0","4","Local","0.13","669","WINCHESTER AV","130 WINCHESTER AVE","WEBSTER ST","","","","","41.31794600","-72.92726200","9","Pedestrian","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","4","Dark-Lighted","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","1","Non-Junction","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0009300","New Haven PD","299","2015-05-10 00:00:00.0","C","Closed","2015-05-19 00:00:00.0","","G","NEW HAVEN","","2","","","3500","7","LOCAL - NEW HPMS","2","Urban"
"36096","1","Complete","36096","36096","41.29309500","-72.94168100","2279041","New Haven","93","93","New Haven","2015-03-06","2015","3","March","6","6","Friday","08:42:00","8","15009474","A","Injury of any type (Serious, Minor, Possible)","A","Suspected Serious Injury (A)","2","1","1","4","Local","0.23","600","TRUMAN ST","113 TRUMAN ST.","","BARCLAY ST","150.0","Feet","E","41.29309500","-72.94168100","14","Motor Vehicle in Operation","97","Other","1","On Roadway","1","Clear","88","Not Applicable","1","Daylight","5","Ice / Frost","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","97","Other","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0009300","New Haven PD","145","2015-03-06 00:00:00.0","O","Open","2015-06-01 00:00:00.0","","G","NEW HAVEN","","2","","","","7","LOCAL - NEW HPMS","2","Urban"
"36102","1","Complete","36102","36102","41.30434100","-72.89447200","2279047","New Haven","93","93","New Haven","2015-03-17","2015","3","March","17","3","Tuesday","12:01:00","12","15011447","A","Injury of any type (Serious, Minor, Possible)","A","Suspected Serious Injury (A)","1","1","1","4","Local","1.09","213","FERRY ST"," FERRY ST","CHAPEL ST","","","","","41.30434100","-72.89447200","9","Pedestrian","88","Not Applicable","1","On Roadway","4","Rain","88","Not Applicable","1","Daylight","2","Wet","97","Other","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","2","Intersection","2","Four-Way Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0009300","New Haven PD","185","2015-04-23 00:00:00.0","C","Closed","2015-06-01 00:00:00.0","","G","NEW HAVEN","","4","","","11800","4","MINOR ARTERIAL - NEW HPMS","2","Urban"
"36277","1","Complete","36277","36277","41.29236500","-72.94013700","2279222","New Haven","93","93","New Haven","2015-05-21","2015","5","May","21","5","Thursday","19:05:00","19","15023189","A","Injury of any type (Serious, Minor, Possible)","A","Suspected Serious Injury (A)","1","1","1","4","Local","0.25","626","WASHINGTON AV NO 1","698 WASHINGTON AVE","","MORRIS ST","150.0","Feet","S","41.29236500","-72.94013700","10","Pedalcycle/Pedalcyclist","3","Angle","2","Shoulder","1","Clear","88","Not Applicable","1","Daylight","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","1","Non-Junction","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0009300","New Haven PD","236","2015-05-22 00:00:00.0","C","Closed","2015-06-01 00:00:00.0","","G","NEW HAVEN","","4","","","4000","4","MINOR ARTERIAL - NEW HPMS","2","Urban"
