https://www.ctcrash.uconn.edu/QueryTool2.action?qid=165576
"CrashId","Fatal Case Status","Fatal Case Status Text Format","CrashId","CrashId","Latitude","Longitude","DOT Case Number","Town Name","Town Number","Town Number","Town Number Text Format","Date Of Crash","Year","Month","Month Text Format","Day","Day of the Week","Day of the Week Text Format","Time of Crash","Hour of the Day","Case Identifier","Crash Severity","Crash Severity Text Format","Most Severe Injury","Most Severe Injury Text Format","Number Of Motor Vehicles","Number Of Non-Motorist","Number Of Witnesses","Route Class","Route Class Text Format","Milemarker","Road Number","Road Description","Roadway Name","Intersecting Roadway Name","Landmark Description","Distance From Nearest Landmark","Unit Of Measure From Nearest Landmark","Direction From Nearest Landmark","Latitude","Longitude","First Harmful Event","First Harmful Event Text Format","Manner of Crash / Collision Impact","Manner of Crash / Collision Impact Text Format","Location of First Harmful Event","Location of First Harmful Event Text Format","Weather Condition","Weather Condition Text Format","Weather 2","Weather 2 Text Format","Light Condition","Light Condition Text Format","Road Surface Condition","Road Surface Condition Text Format","Contributing Circumstances, Environment","Contributing Circumstances, Environment Text Format","Environment 2","Environment 2 Text Format","Environment 3","Environment 3 Text Format","Contributing Circumstances, Road","Contributing Circumstances, Road Text Format","Road 2","Road 2 Text Format","Road 3","Road 3 Text Format","Crash Specific Location","Crash Specific Location Text Format","Type of Intersection","Type of Intersection Text Format","School Bus Related","School Bus Related Text Format","Work Zone Related","Work Zone Related Text Format","Location Of Crash Relative To Work Zone","Location Of Crash Relative To Work Zone Text Format","Type of Work Zone","Type of Work Zone Text Format","Worker Presence","Worker Presence Text Format","Law Enforcement Presence","Law Enforcement Presence Text Format","Were Vehicles Moved Prior To Police Arrival","Trafficway Ownership","Trafficway Ownership Text Format","Trafficway Class","Trafficway Class Text Format","Police Agency","Police Agency Text Format","Badge Number","Approval Date","Police Case Status","Police Case Status Text Format","Crash Report Submission Date","Related Case Identifiers","Urban Area","Urban Area Text Format","No. of Through Lanes (Reverse Dir.)","No. of Through Lanes (Log Dir.)","Highway Type (FHWA)","Highway Type (FHWA) Text Format","Average Daily Traffic","Functional Classification","Functional Classification Text Format","Rural or Urban","Rural or Urban Text Format"
"8472","1","Complete","8472","8472","41.38916100","-72.85522200","915035","North Haven","101","101","North Haven","2015-03-11","2015","3","March","11","4","Wednesday","07:02:00","7","1500004522","K","Fatal (Kill)","K","Fatal Injury (K)","1","1","0","3","State","2.95","22","022","SR-22 Clintonville Road","","POOL RD","50.0","Feet","W","41.38916100","-72.85522200","9","Pedestrian","88","Not Applicable","99","Unknown","3","Fog, Smog, Smoke","88","Not Applicable","99","Unknown","2","Wet","1","Weather Conditions","88","Not Applicable","88","Not Applicable","99","Unknown","88","Not Applicable","88","Not Applicable","2","Intersection","3","T-Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","true","1","Public Road","99","Unknown","CT0010100","North Haven PD","527","2015-03-31 00:00:00.0","O","Open","2015-04-01 00:00:00.0","","G","NEW HAVEN","0","2","1","2 LANE CONTIGUOUS (WIDTH UNDER 36')","11900","4","MINOR ARTERIAL - NEW HPMS","2","Urban"
"63867","1","Complete","63867","63867","41.32069400","-72.86640500","915267","East Haven","44","44","East Haven","2015-06-27","2015","6","June","27","7","Saturday","21:42:00","21","1500017175","K","Fatal (Kill)","K","Fatal Injury (K)","1","1","1","3","State","0.85","80","080","Foxon Road","PAUL ST(DE)","","","","","41.32069400","-72.86640500","9","Pedestrian","88","Not Applicable","1","On Roadway","4","Rain","88","Not Applicable","5","Dark-Not Lighted","2","Wet","1","Weather Conditions","88","Not Applicable","88","Not Applicable","5","Road Surface Condition (wet, icy, snow, slush, etc.)","88","Not Applicable","88","Not Applicable","2","Intersection","3","T-Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0004400","East Haven PD","0700","2015-08-06 00:00:00.0","O","Open","2015-08-06 00:00:00.0","","G","NEW HAVEN","0","4","3","3 OR MORE LANES CONTIGUOUS (WIDTH 30' OR MORE)","25400","3","PRINCIPAL ARTERIAL - OTHER - NEW HPMS","2","Urban"
"76772","1","Complete","76772","76772","41.55179300","-73.00770500","915027","Waterbury","151","151","Waterbury","2015-02-20","2015","2","February","20","6","Friday","22:41:00","22","2015-00009339","K","Fatal (Kill)","K","Fatal Injury (K)","1","1","1","3","State","17.16","69","069","MERIDEN RD ","SOUTHMAYD RD","","","","","41.55179300","-73.00770500","9","Pedestrian","88","Not Applicable","2","Shoulder","1","Clear","","","4","Dark-Lighted","1","Dry","0","None","","","","","0","None","88","Not Applicable","","","2","Intersection","4","Y-Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0015100","Waterbury PD","531","2015-09-06 00:00:00.0","C","Closed","2015-09-06 00:00:00.0","2015-________","K","WATERBURY","0","2","1","2 LANE CONTIGUOUS (WIDTH UNDER 36')","14900","3","PRINCIPAL ARTERIAL - OTHER - NEW HPMS","2","Urban"
"84738","1","Complete","84738","84738","41.35102000","-73.03096000","915173","Woodbridge","167","167","Woodbridge","2015-09-15","2015","9","September","15","3","Tuesday","16:41:00","16","1500013543","K","Fatal (Kill)","K","Fatal Injury (K)","3","2","1","3","State","4.56","313","313","244 RIMMON ROAD","","RTE 114(RACEBROOK RD)SB","2.0","TenthsofMile","W","41.35102000","-73.03096000","14","Motor Vehicle in Operation","3","Angle","1","On Roadway","1","Clear","88","Not Applicable","1","Daylight","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","1","Non-Junction","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0016700","Woodbridge PD","009","2015-10-03 00:00:00.0","O","Open","2015-10-03 00:00:00.0","","A","BRIDGEPORT - STAMFORD","0","2","1","2 LANE CONTIGUOUS (WIDTH UNDER 36')","6200","4","MINOR ARTERIAL - NEW HPMS","2","Urban"
"85070","1","Complete","85070","85070","41.53899200","-72.81027400","915201","Meriden","80","80","Meriden","2015-09-28","2015","9","September","28","2","Monday","14:58:00","14","15008140","K","Fatal (Kill)","K","Fatal Injury (K)","1","1","3","3","State","3.48","71","071","W MAIN ST","N FIRST ST","","","","","41.53899200","-72.81027400","9","Pedestrian","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","1","Daylight","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","2","Intersection","3","T-Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0008000","Meriden PD","427","2015-10-02 00:00:00.0","O","Open","2015-10-05 00:00:00.0","","G","NEW HAVEN","0","2","1","2 LANE CONTIGUOUS (WIDTH UNDER 36')","12200","3","PRINCIPAL ARTERIAL - OTHER - NEW HPMS","2","Urban"
"91972","1","Complete","91972","91972","41.47429200","-72.90653100","915190","Cheshire","25","25","Cheshire","2015-10-10","2015","10","October","10","7","Saturday","18:56:00","18","2015-00021119","K","Fatal (Kill)","K","Fatal Injury (K)","1","1","2","3","State","15.24","10","010","S MAIN ST / Rte 10 ","","DENAROSE PL(PVT)","455.0","Feet","N","41.47429200","-72.90653100","9","Pedestrian","88","Not Applicable","1","On Roadway","1","Clear","","","4","Dark-Lighted","1","Dry","0","None","","","","","0","None","","","","","1","Non-Junction","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0002500","Cheshire PD","043","2015-10-28 00:00:00.0","O","Open","2015-10-28 00:00:00.0","2015-________","G","NEW HAVEN","0","2","1","2 LANE CONTIGUOUS (WIDTH UNDER 36')","20900","3","PRINCIPAL ARTERIAL - OTHER - NEW HPMS","2","Urban"
"95333","1","Complete","95333","95333","41.28789700","-72.68393300","915211","Guilford","60","60","Guilford","2015-11-03","2015","11","November","3","3","Tuesday","17:30:00","17","2015009952","K","Fatal (Kill)","K","Fatal Injury (K)","1","1","1","3","State","0.50","77","077","Church St","US 1(BOSTON POST RD)","","","","","41.28789700","-72.68393300","9","Pedestrian","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","4","Dark-Lighted","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","3","Intersection-Related","2","Four-Way Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","true","1","Public Road","1","Trafficway, On Road","CT0006000","Guilford PD","31","2015-11-06 00:00:00.0","C","Closed","2015-11-04 00:00:00.0","2015009952","G","NEW HAVEN","0","2","1","2 LANE CONTIGUOUS (WIDTH UNDER 36')","4200","5","MAJOR COLLECTOR - NEW HPMS","2","Urban"
"95696","1","Complete","95696","95696","41.32428300","-72.83857700","915215","East Haven","44","44","East Haven","2015-11-07","2015","11","November","7","7","Saturday","16:53:00","16","1500031750","K","Fatal (Kill)","K","Fatal Injury (K)","1","1","2","3","State","2.37","80","080","Foxon Road","RTE 100(NORTH HIGH ST)","","","","","41.32428300","-72.83857700","11","Other Non-motorist","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","4","Dark-Lighted","1","Dry","99","Unknown","88","Not Applicable","88","Not Applicable","99","Unknown","88","Not Applicable","88","Not Applicable","1","Non-Junction","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0004400","East Haven PD","0655","2015-11-08 00:00:00.0","O","Open","2015-11-08 00:00:00.0","","G","NEW HAVEN","1","1","2","2 LANES DIVIDED (WIDTH UNDER 36')","12500","3","PRINCIPAL ARTERIAL - OTHER - NEW HPMS","2","Urban"
"109178","1","Complete","109178","109178","41.53382400","-72.79366800","915242","Meriden","80","80","Meriden","2015-11-17","2015","11","November","17","3","Tuesday","18:00:00","18","15009561","K","Fatal (Kill)","K","Fatal Injury (K)","1","1","2","4","Local","2.48","607","EAST MAIN ST NO 1","E MAIN ST","","CENTER ST","27.5","Feet","E","41.53382400","-72.79366800","9","Pedestrian","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","4","Dark-Lighted","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","11","Through Roadway","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0008000","Meriden PD","427","2015-11-30 11:24:45.0","O","Open","2015-12-07 15:55:08.0","","G","NEW HAVEN","","2","","","11700","3","PRINCIPAL ARTERIAL - OTHER - NEW HPMS","2","Urban"
"145412","1","Complete","145412","145412","41.27731700","-72.86118900","915022","East Haven","44","44","East Haven","2015-02-22","2015","2","February","22","1","Sunday","04:04:00","4","1500004893","K","Fatal (Kill)","K","Fatal Injury (K)","1","1","0","2","USRoute","52.06","1","001","Saltonstall PKWY","RTE 100(NB)(MAIN ST)","","","","","41.27731700","-72.86118900","9","Pedestrian","88","Not Applicable","1","On Roadway","7","Snow","5","Sleet or Hail ","5","Dark-Not Lighted","4","Slush","1","Weather Conditions","88","Not Applicable","88","Not Applicable","99","Unknown","88","Not Applicable","88","Not Applicable","1","Non-Junction","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","true","1","Public Road","1","Trafficway, On Road","CT0004400","East Haven PD","0375","2015-02-28 01:07:25.0","C","Closed","2016-01-20 10:31:23.0","","G","NEW HAVEN","2","2","4","3-4 LANES DIVIDED (WIDTH 36'-71')","14300","3","PRINCIPAL ARTERIAL - OTHER - NEW HPMS","2","Urban"
"155834","1","Complete","155834","155834","41.33642300","-73.04891000","915149","Ansonia","2","2","Ansonia","2015-08-20","2015","8","August","20","5","Thursday","16:55:00","16","","K","Fatal (Kill)","K","Fatal Injury (K)","1","1","0","4","Local","0.95","79","FORD ST","FORD ST","","HUGHES CIR(PVT)","150.0","Feet","W","41.33642300","-73.04891000","9","Pedestrian","88","Not Applicable","1","On Roadway","1","Clear","","","1","Daylight","1","Dry","0","None","","","","","0","None","","","","","1","Non-Junction","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","","1","Public Road","1","Trafficway, On Road","CT0000200","Ansonia PD","","","O","Open","","","A","BRIDGEPORT - STAMFORD","","2","","","1900","5","MAJOR COLLECTOR - NEW HPMS","2","Urban"
"155988","1","Complete","155988","155988","41.58395900","-73.03595600","915279","Waterbury","151","151","Waterbury","2015-09-28","2015","9","September","28","2","Monday","20:40:00","20","2015-00054492","K","Fatal (Kill)","K","Fatal Injury (K)","1","1","0","4","Local","0.39","804","PERKINS AV","230 Perkins Ave","","JUDITH LA","100.0","Feet","W","41.58395900","-73.03595600","9","Pedestrian","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","5","Dark-Not Lighted","10","Standing Water","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","11","Through Roadway","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","","1","Public Road","1","Trafficway, On Road","CT0015100","Waterbury PD","585","2015-09-28 20:40:00.0","C","Closed","2015-09-28 20:40:00.0","2015-","K","WATERBURY","","2","","","","7","LOCAL - NEW HPMS","2","Urban"
"162295","1","Complete","162295","162295","41.55510800","-73.01486200","915036","Waterbury","151","151","Waterbury","2015-02-28","2015","2","February","28","7","Saturday","18:10:00","18","2015-00010784","K","Fatal (Kill)","K","Fatal Injury (K)","1","1","3","4","Local","0.86","1126","WOLCOTT ST","WOLCOTT ST ","","HARPER AV","50.0","Feet","N","41.55510800","-73.01486200","9","Pedestrian","2","Front to front","1","On Roadway","1","Clear","","","3","Dusk","1","Dry","0","None","","","","","97","Other","","","","","1","Non-Junction","1","Not at Intersection","1","No","1","No","","","","","","","","","false","1","Public Road","1","Trafficway, On Road","CT0015100","Waterbury PD","531","2016-02-03 18:23:23.23","O","Open","2016-02-03 18:23:23.24","2015-________","K","WATERBURY","","4","","","21200","4","MINOR ARTERIAL - NEW HPMS","2","Urban"
"162450","1","Complete","162450","162450","41.58524900","-73.04237300","915164","Waterbury","151","151","Waterbury","2015-09-08","2015","9","September","8","3","Tuesday","06:15:00","6","2015-00050414","K","Fatal (Kill)","K","Fatal Injury (K)","1","1","0","4","Local","1.93","226","COOKE ST","COOKE ST","CHASE AV","","","","","41.58524900","-73.04237300","10","Pedalcycle/Pedalcyclist","3","Angle","1","On Roadway","1","Clear","","","4","Dark-Lighted","1","Dry","0","None","","","","","0","None","","","","","2","Intersection","2","Four-Way Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0015100","Waterbury PD","585","2016-02-08 11:00:39.697","C","Closed","2016-02-08 11:00:39.71","2015-________","K","WATERBURY","","2","","","5800","4","MINOR ARTERIAL - NEW HPMS","2","Urban"
