https://www.ctcrash.uconn.edu/QueryTool2.action?qid=165576
"CrashId","VehicleId","Vehicle Unit Type","Vehicle Unit Type Text Format","Number of Occupants in Vehicle","Make","Vehicle Model Year","Vehicle Model Year Text Format","Model","Vehicle Color","Direction of Travel Before Crash","Direction of Travel Before Crash Text Format","Direction is Unknown","Most Harmful Event","Most Harmful Event Text Format","Vehicle Maneuver/Action","Vehicle Maneuver/Action Text Format","Contributing Circumstances, Motor Vehicle","Contributing Circumstances, Motor Vehicle Text Format","Contributing Circumstances, Motor Vehicle","Contributing Circumstances, Motor Vehicle Text Format","Posted/Statutory Speed Limit","Towed Status","Towed Status Text Format","Trafficway Description","Trafficway Description Text Format","Total Lanes In Roadway","Roadway Alignment","Roadway Alignment Text Format","Roadway Grade","Roadway Grade Text Format","Initial Contact Point","Initial Contact Point Text Format","Extent of Damage","Extent of Damage Text Format","Body Type","Body Type Text Format","Vehicle Action","Vehicle Action Text Format","Contributing Circumstances of Vehicle","Contributing Circumstances of Vehicle Text Format","VIN","Traffic Control Device Type","Traffic Control Device Type Text Format","Traffic Control Device Functional?","Traffic Control Device Functional? Text Format","Sequence of Events 1","Sequence of Events 1 Text Format","Sequence of Events 2","Sequence of Events 2 Text Format","Sequence of Events 3","Sequence of Events 3 Text Format","Sequence of Events 4","Sequence of Events 4 Text Format","Special Function Of Vehicle In Operation","Special Function Of Vehicle In Operation Text Format","Emergency Vehicle Use","Emergency Vehicle Use Text Format","Were Hazardous Materials Released","Were Hazardous Materials Released Text Format","Owner City","Owner State","Owner Country","Owner Postal Code","Owner Information Same As Driver","Hit And Run Status","Towed To","Was Serial Number Missing/Removed","Bike Lanes/Sharrows Present","Name Of Roadway On Which Vehicle Was Traveling","Vehicle Was Not On Roadway","Motor Vehicle Registration State","Motor Vehicle Registration Was Invalid","Motor Vehicle Registration Plate Was Missing","Bus Use","Name Of Issuing Insurance Company","US DOT Number","Carrier Name","Carrier City","Carrier State","Carrier Country","Carrier Postal Code","Carrier Type","Carrier Type Text Format","Power Unit Owner Information Same As Carrier","Power Unit Owner City","Power Unit Owner State","Power Unit Owner Country","Power Unit Owner Postal Code","Gross Vehicle Weight Rating","Gross Vehicle Weight Rating Text Format","Vehicle Configuration","Vehicle Configuration Text Format","Cargo Body Type","Cargo Body Type Text Format","Insurance Expiration Date","Hazardous Materials Placard Display","Hazardous Materials Placard Display Text Format","Hazardou sMaterials Placard Number","Hazardou sMaterials Placard Class Number"
"8472","1","1","Vehicle in Operation","1","HOND","2011","2011","ACCORD","BLU","W","Westbound","false","17","Pedestrian","99","Unknown","0","None","88","Not Applicable","","3","Not Towed","1","Two-Way, Not Divided","3","1","Straight","1","Level","1","Sector 1 (North by NorthEast) in the 12-point Clock Diagram","3","Functional Damage","1","Passenger Car","99","Unknown","0","None","1HGCP2F30BA110003","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","W Haven","CT","","","","false","","false","false","Clintonville Road","false","CT","false","false","1","STATE FARM","","","","","","","","","","","","","","","","","","","","2015-05-30","","","",""
"63867","1","1","Vehicle in Operation","1","CHEV","2012","2012","VOLT","GRY","E","Eastbound","false","17","Pedestrian","7","Turning Left","99","Unknown","88","Not Applicable","1","2","Towed But not Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","7","Turning Left","99","Unknown","1G1RD6E40CU111342","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Durham","CT","","","","false","East Haven Police Department","false","false","Paul Street","false","CT","false","false","1","GEICO","","","","","","","","","","","","","","","","","","","","2015-07-11","","","",""
"76772","1","1","Vehicle in Operation","1","Honda","1991","1991","ACC","White","N","Northbound","false","17","Pedestrian","1","Straight Ahead","0","None","","","25","2","Towed But not Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","2","Uphill","1","Sector 1 (North by NorthEast) in the 12-point Clock Diagram","3","Functional Damage","1","Passenger Car","1","Straight Ahead","0","None","1HGCB7151MA036971","1","No Control Device","88","Not Applicable","17","Pedestrian","","","","","","","1","No Special Function","88","Not applicable","","","NAUGATUCK","CT","UnitedStates","","false","true","Police HQ","false","false","Meriden Rd","false","CT","true","false","1","None","","","","","","","","","","","","","","","","","","","","","","",""," "
"84738","3","2","Parked Vehicle","0","Toyo","2014","2014","Cor L/le","Blk      ","W","Westbound","false","22","Motor Vehicle In Motion","12","Parked","0","None","88","Not Applicable","40","2","Towed But not Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","2","Uphill","6","Sector 6 (South) in the 12-point Clock Diagram","3","Functional Damage","1","Passenger Car","12","Parked","0","None","2T1BURHE7EC191012   ","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","","","","","","false","Orange Police Department","false","false","Rimmon Road","false","CT","false","false","1","Liberty Mutual","","","","","","","","","","","","","","","","","","","","2015-11-20","","","",""
"84738","2","2","Parked Vehicle","0","Kia","2013","2013","Soul","Red      ","W","Westbound","false","22","Motor Vehicle In Motion","12","Parked","0","None","88","Not Applicable","40","1","Towed Due to Disabling Damage","4","Two-Way, Divided, Positive Median Barrier","2","1","Straight","2","Uphill","6","Sector 6 (South) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","12","Parked","0","None","KNDJT2A56D7554898   ","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","","","","","","false","Woodbridge PD","false","false","Rimmon Road","false","CT","false","false","1","Travelers","","","","","","","","","","","","","","","","","","","","2015-10-18","","","",""
"84738","1","1","Vehicle in Operation","1","Toyo","2014","2014","Cor L/le","Red      ","W","Westbound","false","17","Pedestrian","1","Straight Ahead","0","None","88","Not Applicable","40","1","Towed Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","2","Uphill","12","Sector 12 (North) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","1","Straight Ahead","0","None","2T1BURHE8EC123916   ","1","No Control Device","88","Not Applicable","23","Parked Vehicle","17","Pedestrian","23","Parked Vehicle","88","Not Applicable","1","No Special Function","88","Not applicable","","","","","","","","false","Woodbridge PD","false","false","RIMMON ROAD","false","CT","false","false","1","Travelers","","","","","","","","","","","","","","","","","","","","2016-02-01","","","",""
"85070","1","1","Vehicle in Operation","1","Ford","2011","2011","F150","White","E","Eastbound","","17","Pedestrian","1","Straight Ahead","0","None","88","Not Applicable","30","2","Towed But not Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","2","Minor Damage","5","Pick Up","1","Straight Ahead","0","None","1FTMF1EM1BKD08366","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Mason","OH","UnitedStates","45040","false","false","Meriden Police Impound","false","false","W Main St","false","CT","false","false","1","Allstate","","","","","","","","","","","","","","","","","","","","2016-10-04","","","",""
"91972","1","1","Vehicle in Operation","1","Ford","2006","2006","EXPLORER","Gray","N","Northbound","false","17","Pedestrian","1","Straight Ahead","0","None","","","35","2","Towed But not Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","3","Functional Damage","2","(Sport) Utility Vehicle","1","Straight Ahead","0","None","1FMEU75806UA04564","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","CHESHIRE","CT","UnitedStates","06410","false","false","500 Highland Avenue","false","false","South Main Street","false","CT","false","false","88","Liberty Mutual","","","","","","","","","","","","","","","","","","","","2016-05-17","","",""," "
"95333","1","1","Vehicle in Operation","1","Honda","2012","2012","CR-V","Brown","S","Southbound","false","17","Pedestrian","1","Straight Ahead","0","None","88","Not Applicable","25","2","Towed But not Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","3","Functional Damage","2","(Sport) Utility Vehicle","1","Straight Ahead","0","None","5J6RM4H55CL041465","3","Traffic Control Signal","2","Yes","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Fort Myers","FL","UnitedStates","33908","true","false","Guilford PD400 Church St Guilford, CT 06437","false","false","Church St","false","FL","false","false","1","Allstate Insurance","","","","","","","","","","","","","","","","","","","","2016-08-03","","","",""
"95696","1","1","Vehicle in Operation","2","NISSAN","2003","2003","","SILVER","E","Eastbound","false","19","Other Non-motorist","1","Straight Ahead","99","Unknown","88","Not Applicable","45","1","Towed Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","99","Unknown","11","Sector 11 (North by NorthWest) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","1","Straight Ahead","99","Unknown","3N1CB51D83L818480","1","No Control Device","88","Not Applicable","19","Other Non-motorist","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","","","","","","false","Fireline Towing","false","false","Foxon Road","false","FL","false","false","1","PROGRESSIVE","","","","","","","","","","","","","","","","","","","","2016-03-03","","","",""
