https://www.ctcrash.uconn.edu/QueryTool2.action?qid=165576
"CrashId","VehicleId","PersonId","Age","Gender","Gender Text Format","State","Postal Code","Person Type","Person Type Text Format","Injury Status","Injury Status Text Format","Condition at Time of Crash","Condition at Time of Crash Text Format","Condition at Time of Crash2","Condition at Time of Crash2 Text Format","Action Taken by Officer","Action Taken by Officer Text Format","Alcohol Test Status","Alcohol Test Status Text Format","Type Of Alcohol Test","Type Of Alcohol Test Text Format","Drug Test Status","Drug Test Status Text Format","Type Of Drig Test","Type Of Drig Test Text Format","Ejection Status","Ejection Status Text Format","Restraint System","Restraint System Text Format","Helmet Use","Helmet Use Text Format","Air Bag Status","Air Bag Status Text Format","Speeding Related","Speeding Related Text Format","Driver Actions 1","Driver Actions 1 Text Format","Driver Actions 2","Driver Actions 2 Text Format","Driver Actions 3","Driver Actions 3 Text Format","Driver Actions 4","Driver Actions 4 Text Format","Driver Distracted By","Driver Distracted By Text Format","Roadway On Which Nonmotorist Was Traveling/Located","Direction nonmotorist was traveling","Direction Unknown","Striking Motor Vehicle ID","Bicycle ID","Non-Motorist Not In Roadway","Actions or Circumstances Prior to Crash","Actions or Circumstances Prior to Crash Text Format","To or From School","To or From School Text Format","Actions or Circumstances At Time Of Crash","Actions or Circumstances At Time Of Crash Text Format","Actions or Circumstances At Time Of Crash2","Actions or Circumstances At Time Of Crash2 Text Format","Location At Time Of Crash","Location At Time Of Crash Text Format","Safety Equipment","Safety Equipment Text Format","Safety Equipment2","Safety Equipment2 Text Format","Non-motorist Distracted By","Non-motorist Distracted By Text Format","Seating Position","Seating Position Text Format","Seating Position for Bus","City","Country","Driver License Jurisdiction","Driver License Jurisdiction Text Format","Drivers License Issued By","Drivers License Class","Commercial License Class","Commercial License Class Text Format","Transported to First Medical Facility By","Transported to First Medical Facility By Text Format","Name of the EMS agency","Name of the Intended Receiving Facility"
"8472","","2","50","1","Male","CT","06473","3","Pedestrian","K","Fatal Injury (K)","99","Unknown","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Clintonville Road","W","false","1","","false","99","Unknown","1","No","99","Unknown","","","99","Unknown","0","None","","","99","Unknown if Distracted","","","","North Haven","","99","Unknown","CT","","","","1","Not Transported","",""
"63867","","2","46","1","Male","CT","06604","3","Pedestrian","K","Fatal Injury (K)","99","Unknown","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Paul Street","N","false","1","","false","99","Unknown","1","No","99","Unknown","","","2","Intersection-Unmarked Crosswalk","0","None","","","99","Unknown if Distracted","","","","Bridgeport     ","","88","Not applicable","CT","","","","1","Not Transported","American Medical Response","New Haven Hospital"
"76772","","2","20","2","Female","","","3","Pedestrian","K","Fatal Injury (K)","1","Apparently Normal","88","Not Applicable","0","None taken","3","Test Given","1","Blood","3","Test Given","1","Blood","","","","","","","","","","","","","","","","","","","","","","N","","0","","","3","Walking/Cycling along Roadway Along Traffic (In or Adjacent to Travel Lane)","1","No","5","In Roadway Improperly (Standing, Lying, Working, Playing)","88","Not Applicable","7","Shoulder/Roadside","0","None","88","Not Applicable","1","Not Distracted","","","","WATERBURY ","","99","Unknown","","","","","","","",""
"84738","","3","33","2","Female","CT","06611","3","Pedestrian","K","Fatal Injury (K)","99","Unknown","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Rimmon Road","W","false","1","","false","6","In Roadway - Other","1","No","5","In Roadway Improperly (Standing, Lying, Working, Playing)","","","5","Travel Lane-Other Location","0","None","","","7","Other, Outside Vehicle","","","","Trumbull       ","","88","Not applicable","CT","","","","1","Not Transported","AMR","New Haven Hospital"
"85070","","1","49","1","Male","CT","06451","3","Pedestrian","K","Fatal Injury (K)","1","Apparently Normal","1","Apparently Normal","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","W MAIN ST","N","false","1","","false","1","Crossing Roadway","1","No","2","Dart/Dash","88","Not Applicable","5","Travel Lane-Other Location","0","None","88","Not Applicable","1","Not Distracted","","","","Meriden","UnitedStates","88","Not applicable","","","","","1","Not Transported","HUNTERS AMBULANCE","MIDSTATE MEDICAL CENTER"
"91972","","2","90","2","Female","CT","06410","3","Pedestrian","K","Fatal Injury (K)","1","Apparently Normal","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","South Main Street","W","false","1","","false","1","Crossing Roadway","1","No","99","Unknown","","","5","Travel Lane-Other Location","0","None","","","99","Unknown if Distracted","","","","CHESHIRE","UnitedStates","2","State","","","","","1","Not Transported","Campion",""
"95333","","2","73","2","Female","CT","06437","3","Pedestrian","K","Fatal Injury (K)","1","Apparently Normal","99","Unknown","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Church St","E","false","1","","false","1","Crossing Roadway","1","No","5","In Roadway Improperly (Standing, Lying, Working, Playing)","88","Not Applicable","5","Travel Lane-Other Location","0","None","88","Not Applicable","1","Not Distracted","","","","Guilford","","2","State","CT","","","","1","Not Transported","Guilford Fire and Rescue","Yale New Haven Hospital"
"95696","","3","81","1","Male","CT","06512","4","Other Pedestrian (wheelchair, person in a building, skater, pedestrian conveyance)","K","Fatal Injury (K)","99","Unknown","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Foxon Road","E","false","1","","false","1","Crossing Roadway","1","No","99","Unknown","88","Not Applicable","4","Midblock-Marked Crosswalk","0","None","88","Not Applicable","99","Unknown if Distracted","","","","East Haven","","","","CT","","","","1","Not Transported","AMR","Yale New Haven Hospital"
"109178","","1","68","1","Male","CT","06450","3","Pedestrian","K","Fatal Injury (K)","1","Apparently Normal","1","Apparently Normal","0","None taken","99","Unknown if Tested","88","Not Applicable","99","Unknown if Tested","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","E MAIN ST","E","false","1","","false","1","Crossing Roadway","1","No","1","No Improper Action","88","Not Applicable","5","Travel Lane-Other Location","0","None","88","Not Applicable","1","Not Distracted","","","","Meriden","UnitedStates","2","State","CT","","","","3","EMS Ground","HUNTERS AMBULANCE","HARTFORD HOSPITAL"
"145412","","4","86","1","Male","CT","06405","3","Pedestrian","K","Fatal Injury (K)","1","Apparently Normal","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Saltonstall Parkway","E","","1","","false","3","Walking/Cycling along Roadway Along Traffic (In or Adjacent to Travel Lane)","1","No","9","Not Visible (Dark Clothing, No Lighting, etc.)","88","Not Applicable","5","Travel Lane-Other Location","0","None","88","Not Applicable","1","Not Distracted","","","","Branford","","","","CT","","","","3","EMS Ground","American Medical Response","YALE NEW HAVEN"
